insee_code,commune_name,percent_main_housing_year_2020,percent_secondary_housing_year_2020,percent_main_housing_year_2020,percent_vacant_year_2020,percent_single_family_home_year_2020,percent_homeownership_year_2020,percent_renting_year_2020,percent_social_housing_year_2020
01085,La Chapelle-du-Châtelard,89.2,0.9,9.9,6.3,93.7,83.9,16.1,0
01087,Charix,68.7,20.5,10.8,14.9,85.1,75.9,19.9,1.7
01088,Charnoz-sur-Ain,89.6,4.8,5.6,5.4,94.6,87.7,10.6,2.9
01089,Château-Gaillard,93.9,2.3,3.8,4.4,95.6,76.7,22.5,8.1
01090,Châtenay,89.9,5.3,4.7,7.7,92.3,80.2,19.8,3.3
01092,Châtillon-la-Palud,87.5,6.3,6.2,5,94.9,84.5,14.4,3.3
01093,Châtillon-sur-Chalaronne,88.2,1.7,10.1,47.8,51.9,50.8,47.4,17.5
01094,Chavannes-sur-Reyssouze,84.2,6.6,9.2,2.7,97.1,87.1,11.9,3.4
01095,Nivigne et Suran,74.3,12.5,13.2,13.9,86.1,72.6,26.1,7.4
01096,Chaveyriat,90.9,3,6.2,4.8,95.2,78.6,20.1,2
01098,Chazey-Bons,84.2,7.2,8.6,8.9,91.1,77.6,19.6,4.9
01099,Chazey-sur-Ain,92.6,3.3,4.1,16.2,83.2,71.9,26.7,4.1
01100,Cheignieu-la-Balme,62,22.8,15.2,3.4,96.6,79.7,16.2,0
01101,Chevillard,72.6,12.6,14.7,10.5,88.4,81.2,14.5,0
01102,Chevroux,93.2,1.3,5.5,2.8,97.2,81.2,17.4,2.7
01103,Chevry,88.6,3.7,7.7,48.4,51.4,69,30.4,7.8
01104,Chézery-Forens,51,34.1,14.9,22.6,76.6,75.7,20.9,8.6
01105,Civrieux,93.1,2.7,4.2,12.3,86.1,78.2,20.2,8
01106,Cize,82.6,14.4,3.1,1,98,90.1,9.9,0
01107,Cleyzieu,63.1,23.8,13.1,0.9,98.2,87.3,9.9,0
01108,Coligny,74.8,6.8,18.4,22.2,77.2,69.4,28.3,11.6
01109,Collonges,86.6,3.9,9.5,30.1,69.2,65.3,31.9,14.7
01110,Colomieu,80.1,16.6,3.3,9,91,76.1,23.9,4.2
01111,Conand,52.2,42.4,5.4,0,100,77.6,13.8,0
01112,Condamine,91.3,6.1,2.6,7.7,92.3,77.1,20.1,7.8
01113,Condeissiat,88.4,2.8,8.7,20.3,79.4,69.2,30.3,14
01114,Confort,86.4,6.8,6.8,19.5,79.4,75.7,23.2,4.4
01115,Confrançon,90.4,3.4,6.2,20.7,79.3,69.5,30,10.5
01116,Contrevoz,72.6,17.5,9.9,4.5,95.5,80.3,17.1,0
01117,Conzieu,67.3,26.9,5.8,2.3,96.5,75.9,24.1,0
01118,Corbonod,67.5,14.8,17.7,16.4,83.4,75.9,20.5,3.2
01121,Corlier,75,20.3,4.7,9.4,89.1,72.9,22.9,8.3
01123,Cormoranche-sur-Saône,91.8,2.6,5.6,1.5,98.5,89.7,9.3,0.6
01124,Cormoz,81.8,8.5,9.7,6.4,93.6,77.4,20.4,2.8
01125,Corveissiat,73.8,13,13.2,6.2,92.9,79.9,17.5,3.7
01127,Courmangoux,79.4,15.4,5.2,1.4,98.6,83.2,14.1,2.2
01128,Courtes,85.9,3.8,10.3,5.8,92.9,76.1,20.9,7.5
01129,Crans,91.8,2.2,6,0,99.3,91.1,4.1,0
01130,Bresse Vallons,92.8,1.9,5.3,7.2,92.4,77.1,21.6,5.2
01133,Cressin-Rochefort,79.5,12.8,7.8,4.6,95.4,75.9,21.3,0
01134,Crottet,94.6,1.8,3.6,8.8,91.1,80.3,18.8,5.3
01135,Crozet,89.3,6.6,4.2,26,73.3,70.3,26.4,4.8
01136,Cruzilles-lès-Mépillat,88.5,3.6,7.9,4.6,95.4,83.6,15.9,7.8
01138,Culoz-Béon,83.8,5.7,10.4,37.5,62.3,58.1,40.2,20.4
01139,Curciat-Dongalon,75.3,10.3,14.4,10.7,89.3,76,20.1,3.9
01140,Curtafond,94,2.2,3.8,6.3,93.7,76.6,22.7,8.1
01141,Cuzieu,83.5,8.5,8,1.3,98.3,90.5,9,0
01142,Dagneux,94.3,0.6,5,33,66.7,66.8,31.6,11.4
01143,Divonne-les-Bains,72.5,19,8.6,65.8,33.4,55.5,40.8,9.9
01145,Dompierre-sur-Veyle,86.1,5,8.9,16.7,83.1,68,30.8,13.3
01146,Dompierre-sur-Chalaronne,91.6,2.2,6.2,6.2,93.8,82.2,16.6,0
01147,Domsure,79.7,9.2,11.1,7.2,92.8,78.5,18.5,6
01148,Dortan,79.5,2.1,18.4,28.7,70.7,66.8,30.1,14.7
01149,Douvres,92.5,3.5,4.1,13,86.8,78.9,19.8,4
01150,Drom,77.2,12.7,10.2,8.4,91.6,75,19.6,0
01151,Druillat,82.4,7.6,10,3.9,96.1,88.8,9.2,0
01152,Échallon,73.4,14.7,12,10.4,88.9,87,10.4,0
01153,Échenevex,86.5,8.2,5.4,17.8,81.8,76,21.6,3.6
01155,Évosges,71.7,22.2,6.1,8.1,91.9,81.7,14.1,7
01156,Faramans,90.2,3.8,5.9,4.1,95.9,83.6,13.4,0
01157,Fareins,89.6,6.1,4.2,15.7,77.7,81.1,17.7,6.7
01158,Farges,87.9,5.1,7.1,18.4,79.8,74.4,23.7,5.1
01159,Feillens,92.4,1,6.6,16.2,83.6,63.8,34.6,7
01160,Ferney-Voltaire,80.5,15.2,4.3,89.7,8.8,39.1,58.7,15.2
01162,Flaxieu,64.4,28,7.6,2.5,97.5,88.5,11.5,0
01163,Foissiat,88.6,2.6,8.8,12.7,87,77.6,21.5,6.7
01165,Francheleins,94.1,2.7,3.2,3.2,96.8,87.4,11.6,2.2
01166,Frans,95.3,1,3.6,17.1,82.5,77.8,21.4,9.4
01167,Garnerans,89,6.5,4.5,2,98,88.4,11.6,2.3
01169,Genouilleux,90.6,4.1,5.3,6.5,92.7,84.9,13.8,0
01170,Béard-Géovreissiat,94.6,0.7,4.7,3.7,96.3,80.9,18.3,6.4
01171,Géovreisset,95.1,2,2.9,7.3,92.1,75.8,22.9,7
01173,Gex,88,4.9,7,70.9,28.6,43.9,54.1,20.4
01174,Giron,60,33.8,6.2,9.2,84.6,80.8,16.7,0
01175,Gorrevod,89.2,2.1,8.7,11.5,87.7,68.1,30.4,9.6
01177,Grand-Corent,72.3,16.5,11.3,5.2,93.9,85.5,13.3,0
01179,Grièges,94.1,2.1,3.8,13.6,86.2,76.2,23,10.2
01180,Grilly,74,17.8,8.2,28.2,71.4,79.5,19.4,0.6
01181,Groissiat,95.3,1.5,3.2,11.6,87.7,80.7,18.7,10.6
01183,Guéreins,90.4,2.6,7,7.9,91.6,84.4,13.4,0.7
01184,Hautecourt-Romanèche,66.2,23.4,10.4,4.6,95.2,81.3,16,3.8
01185,Plateau d'Hauteville,75.3,11.4,13.3,40.4,58.7,55.1,41.9,16.3
01187,Haut Valromey,49.4,40.9,9.7,17.7,81.9,76.7,20,4.1
01188,Illiat,92.9,3.4,3.7,1.1,98.9,84.7,14.1,1.2
01189,Injoux-Génissiat,78.2,8.1,13.7,20.7,79.2,66.9,31.1,8.4
01190,Innimond,40.2,47.2,12.6,1,99,82.5,12.5,0
01191,Izenave,75.5,12.2,12.2,11.8,88.2,78.9,16.9,0
01192,Izernore,90.6,1.3,8.1,26.7,72.6,52.7,45.4,20.8
01193,Izieu,79.7,14.1,6.3,2.4,96.8,81.4,14.7,0
01194,Jassans-Riottier,93.4,0.6,6.1,43.6,54.6,59.3,39.3,23.4
01195,Jasseron,89.8,3.1,7,14.1,85.7,77.1,22,9.5
01196,Jayat,89.5,4.6,5.9,12.6,87.3,76.4,22.4,9
01197,Journans,80.8,13.2,6.1,2.2,97.8,79.5,18.4,0
01198,Joyeux,82.8,12.3,4.9,1.6,98.4,50.4,46.6,3.9
01199,Jujurieux,79.3,8,12.7,20.3,78.1,66.8,31.9,10.7
01200,Labalme,83.5,6.4,10.1,8.3,89.9,60.4,35.2,4.4
01202,Lagnieu,90.8,2.1,7.1,43.7,55.7,57.7,40.5,18.4
01203,Laiz,94.8,0.1,5.1,14.4,85.6,74.5,23.7,11.7
01204,Le Poizat-Lalleyriat,63.8,29.1,7.2,17.6,81.4,79.6,18.4,4.1
01206,Lantenay,84.5,12.6,3,6.2,93.8,91.2,7,0
01207,Lapeyrouse,88.1,6.7,5.2,2.4,97.6,82.5,14.9,0
01208,Lavours,68.8,14.6,16.7,8.3,91.7,77.3,19.7,0
01209,Léaz,82.5,5.8,11.7,10.5,89.5,74.4,22.9,12.5
01210,Lélex,15.9,81.8,2.2,84.6,15.4,67.6,21.9,4.3
01211,Lent,87.3,4.2,8.5,20.7,79.1,67.8,30.9,13
01212,Lescheroux,81.2,5.9,12.9,7.6,92.4,83.4,14.9,2.1
01213,Leyment,92.1,3.1,4.9,4,95.8,75.1,23.5,6.6
01214,Leyssard,72.1,21.2,6.7,4.8,95.2,85.3,12,1.3
01215,Surjoux-Lhopital,57.5,29.8,12.7,7.5,92.5,75.6,17.8,0
01216,Lhuis,69,20,11,8.2,91.4,78.2,17.8,5.1
01219,Lompnas,69.1,21.8,9.1,4.5,95.5,71.4,26,0
01224,Loyettes,91.5,1.6,6.9,24.7,74.5,71,27.6,7
01225,Lurcy,92.6,3.2,4.2,4.4,95.6,94,6,1.8
01227,Magnieu,78.4,17.3,4.3,2.6,97.4,86.2,12.7,0
01228,Maillat,84.9,3.5,11.6,21,79,69.3,28.5,4.4
01229,Malafretaz,89.7,1,9.3,27.9,72.1,66.5,32.7,5.7
01230,Mantenay-Montlin,84.4,7.2,8.4,3.7,96.3,85.1,14.9,2.1
01231,Manziat,91.8,1.6,6.6,11.2,88.7,77.6,21.5,0.7
01232,Marboz,90.9,1.7,7.4,19,80.6,73.9,25.1,6.2
